neighborhood,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,rent_per_sqfoot
Manhattanville,1395.0,1.0,1.0,500.0,5.0,5.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.79
Inwood,2218.3333333333335,1.5,1.25,849.1666666666666,3.0,3.6666666666666665,73.41666666666667,0.16666666666666666,0.08333333333333333,0.25,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,2.612365063788028
Little Italy,2248.0,0.3333333333333333,1.0,433.3333333333333,1.6666666666666667,5.333333333333333,102.66666666666667,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,5.187692307692308
Hamilton Heights,2284.0,1.375,1.125,783.1875,4.5625,2.9375,91.1875,0.0,0.0,0.0625,0.0,0.125,0.0,0.0,2.9162876067352963
Harlem,2406.0,2.5,1.0,800.0,1.5,24.5,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0075
East Harlem,2502.0,1.524390243902439,1.0731707317073171,768.5121951219512,4.585365853658536,4.634146341463414,55.36585365853659,0.24390243902439024,0.1951219512195122,0.3170731707317073,0.2926829268292683,0.1951219512195122,0.024390243902439025,0.14634146341463414,3.255641245358469
Washington Heights,2539.3333333333335,1.962962962962963,1.2777777777777777,941.2407407407408,3.3703703703703702,3.111111111111111,84.48148148148148,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.018518518518518517,2.697857437975879
Two Bridges,2955.625,1.125,1.0,635.375,3.25,5.25,44.25,0.125,0.0,0.0,0.125,0.0,0.0,0.125,4.65178044461932
Chinatown,2955.625,1.125,1.0,635.375,3.25,5.25,44.25,0.125,0.0,0.0,0.125,0.0,0.0,0.125,4.65178044461932
Long Island City,2957.0,0.75,1.0,700.0,10.0,15.5,4.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,4.224285714285714
Harlem,2963.9268292682927,1.6158536585365855,1.3170731707317074,915.1463414634146,3.7804878048780486,5.219512195121951,73.07317073170732,0.10975609756097561,0.10975609756097561,0.15853658536585366,0.12195121951219512,0.10975609756097561,0.024390243902439025,0.10975609756097561,3.2387463020708407
Roosevelt Island,3259.0,1.1,1.2,797.8,14.2,10.4,11.4,0.2,0.4,0.4,0.6,0.0,0.0,0.2,4.084983705189271
Morningside Heights,3840.3846153846152,2.0,1.2307692307692308,988.4615384615385,1.8461538461538463,6.461538461538462,95.84615384615384,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,3.885214007782101
Stuyvesant Town,3847.0,1.0,1.0,786.3333333333334,4.666666666666667,8.333333333333334,70.33333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,4.89232725731242
Theater District,4125.996815286624,1.1512738853503184,1.2038216560509554,769.0,5.611464968152866,13.834394904458598,39.060509554140125,0.11146496815286625,0.14331210191082802,0.20382165605095542,0.22611464968152867,0.14012738853503184,0.03184713375796178,0.1305732484076433,5.365405481517066
Hell's Kitchen,4125.996815286624,1.1512738853503184,1.2038216560509554,769.0,5.611464968152866,13.834394904458598,39.060509554140125,0.11146496815286625,0.14331210191082802,0.20382165605095542,0.22611464968152867,0.14012738853503184,0.03184713375796178,0.1305732484076433,5.365405481517066
Financial District,4263.925373134329,0.9384328358208955,1.2462686567164178,831.1604477611941,2.3917910447761193,16.208955223880597,65.82462686567165,0.1455223880597015,0.15298507462686567,0.30597014925373134,0.29850746268656714,0.16417910447761194,0.05223880597014925,0.1828358208955224,5.1300869580832416
East Village,4304.361111111111,1.1574074074074074,1.1481481481481481,768.0370370370371,4.907407407407407,4.564814814814815,68.29629629629629,0.06481481481481481,0.1111111111111111,0.16666666666666666,0.17592592592592593,0.12962962962962962,0.009259259259259259,0.1111111111111111,5.604366591117326
Midtown South,4556.364705882353,1.0823529411764705,1.2352941176470589,822.0588235294117,3.0,19.96470588235294,45.05882352941177,0.16470588235294117,0.10588235294117647,0.25882352941176473,0.29411764705882354,0.16470588235294117,0.03529411764705882,0.15294117647058825,5.542626118067979
Murray Hill,4703.697826086956,1.2869565217391303,1.3065217391304347,896.6760869565218,6.758695652173913,15.104347826086956,41.493478260869566,0.1826086956521739,0.16956521739130434,0.34782608695652173,0.358695652173913,0.1934782608695652,0.06304347826086956,0.22826086956521738,5.245704546501451
Kips Bay,4703.697826086956,1.2869565217391303,1.3065217391304347,896.6760869565218,6.758695652173913,15.104347826086956,41.493478260869566,0.1826086956521739,0.16956521739130434,0.34782608695652173,0.358695652173913,0.1934782608695652,0.06304347826086956,0.22826086956521738,5.245704546501451
Lower East Side,4785.170731707317,1.5853658536585367,1.3658536585365855,974.4146341463414,5.585365853658536,5.121951219512195,70.58536585365853,0.14634146341463414,0.14634146341463414,0.3170731707317073,0.24390243902439024,0.14634146341463414,0.12195121951219512,0.21951219512195122,4.910815749292884
Gramercy,5065.131147540984,1.2131147540983607,1.2950819672131149,828.2131147540983,5.704918032786885,7.655737704918033,53.08196721311475,0.09836065573770492,0.18032786885245902,0.21311475409836064,0.16393442622950818,0.08196721311475409,0.04918032786885246,0.06557377049180328,6.115734051186636
Upper West Side,5354.050086355785,1.5259067357512954,1.447322970639033,974.9965457685665,4.822107081174439,10.182210708117443,55.3713298791019,0.15025906735751296,0.14680483592400692,0.27461139896373055,0.307426597582038,0.18307426597582038,0.06217616580310881,0.17443868739205526,5.491352876676415
Greenwich Village,5471.424242424242,0.8939393939393939,1.196969696969697,922.0757575757576,2.6666666666666665,6.363636363636363,84.5,0.18181818181818182,0.15151515151515152,0.3181818181818182,0.3333333333333333,0.24242424242424243,0.06060606060606061,0.19696969696969696,5.933812051201998
NoHo,5471.424242424242,0.8939393939393939,1.196969696969697,922.0757575757576,2.6666666666666665,6.363636363636363,84.5,0.18181818181818182,0.15151515151515152,0.3181818181818182,0.3333333333333333,0.24242424242424243,0.06060606060606061,0.19696969696969696,5.933812051201998
Upper East Side,5519.004,1.551,1.508,1017.698,7.03,12.104,51.022,0.158,0.184,0.312,0.326,0.228,0.06,0.196,5.423027263490741
Midtown,5930.672268907563,1.273109243697479,1.361344537815126,1049.126050420168,2.3361344537815127,23.470588235294116,44.983193277310924,0.226890756302521,0.226890756302521,0.4957983193277311,0.37815126050420167,0.2605042016806723,0.11764705882352941,0.21008403361344538,5.652964452205118
Battery Park City,5968.961538461538,1.5,1.5769230769230769,1018.5384615384615,11.663461538461538,13.567307692307692,20.403846153846153,0.17307692307692307,0.27884615384615385,0.36538461538461536,0.40384615384615385,0.25,0.057692307692307696,0.23076923076923078,5.8603202175062306
West Village,5970.9701492537315,1.1791044776119404,1.2537313432835822,854.5074626865671,3.626865671641791,4.492537313432836,78.19402985074628,0.1791044776119403,0.23880597014925373,0.31343283582089554,0.31343283582089554,0.208955223880597,0.029850746268656716,0.14925373134328357,6.9876161531474885
Flatiron District,6120.174242424242,1.1931818181818181,1.371212121212121,915.560606060606,2.1742424242424243,16.87878787878788,31.333333333333332,0.19696969696969696,0.14393939393939395,0.23484848484848486,0.25757575757575757,0.20454545454545456,0.05303030303030303,0.17424242424242425,6.68461945818922
Chelsea,6193.483516483517,1.25,1.4120879120879122,968.9120879120879,3.6648351648351647,10.373626373626374,40.06043956043956,0.15384615384615385,0.14835164835164835,0.2692307692307692,0.2967032967032967,0.1813186813186813,0.06593406593406594,0.1813186813186813,6.392203785825272
Nolita,6687.222222222223,2.0,1.5555555555555556,1122.3333333333333,2.7777777777777777,5.0,57.55555555555556,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,5.958320958320959
Central Park South,7506.95652173913,1.5434782608695652,1.6521739130434783,1173.304347826087,1.9565217391304348,11.73913043478261,80.8695652173913,0.08695652173913043,0.13043478260869565,0.30434782608695654,0.391304347826087,0.21739130434782608,0.043478260869565216,0.13043478260869565,6.398132364929963
Tribeca,7975.26050420168,1.546218487394958,1.6722689075630253,1324.1764705882354,2.966386554621849,7.546218487394958,46.36974789915966,0.23529411764705882,0.23529411764705882,0.20168067226890757,0.2857142857142857,0.2689075630252101,0.06722689075630252,0.18487394957983194,6.02280789709158
Civic Center,7975.26050420168,1.546218487394958,1.6722689075630253,1324.1764705882354,2.966386554621849,7.546218487394958,46.36974789915966,0.23529411764705882,0.23529411764705882,0.20168067226890757,0.2857142857142857,0.2689075630252101,0.06722689075630252,0.18487394957983194,6.02280789709158
SoHo,8467.655172413793,1.7586206896551724,1.603448275862069,1396.844827586207,2.5344827586206895,3.913793103448276,83.13793103448276,0.1724137931034483,0.08620689655172414,0.27586206896551724,0.3620689655172414,0.20689655172413793,0.05172413793103448,0.1896551724137931,6.061986990384734
